Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
448,The Monster,https://www.imdb.com/title/tt3976144/,2016,R,91,"Drama, Fantasy, Horror",5.4,A mother and daughter must confront a terrifying monster when they break down on a deserted road.,,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi"
449,P2,https://www.imdb.com/title/tt0804516/,2007,R,98,"Crime, Horror, Thriller",5.9,A businesswoman is pursued by a psychopath after being locked in a parking garage on Christmas Eve.,"3,992,339",Franck Khalfoun,"Rachel Nichols, Wes Bentley, Simon Reynolds, Philip Akin"
450,Bait,https://www.imdb.com/title/tt1438173/,2012,R,93,"Action, Adventure, Drama",5.2,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building - along with 12-foot Great White Sharks.,,Kimble Rendall,"Xavier Samuel, Sharni Vinson, Adrian Pang, Yuwu Qi"
451,The Hills Have Eyes,https://www.imdb.com/title/tt0077681/,1977,,90,"Horror, Thriller",6.3,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.","25,000,000",Wes Craven,"Suze Lanier-Bramlett, Robert Houston, Martin Speer, Dee Wallace"
452,Halloween II,https://www.imdb.com/title/tt0082495/,1981,,92,Horror,6.5,"While Sheriff Brackett and Dr. Loomis hunt for Michael Myers, a traumatized Laurie is rushed to hospital, and the serial killer is not far behind her.","25,533,818",Rick Rosenthal,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer"
453,Friend Request,https://www.imdb.com/title/tt3352390/,2016,R,92,"Horror, Mystery, Thriller",5.3,"When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.","3,759,046",Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan"
454,The Taking,https://www.imdb.com/title/tt3387648/,2014,R,90,"Horror, Mystery, Thriller",6.0,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on.",,Adam Robitel,"Jill Larson, Anne Ramsay, Michelle Ang, Brett Gentile"
455,The Lodgers,https://www.imdb.com/title/tt4399952/,2017,R,92,"Drama, Horror, Romance",5.1,See full summary,,Brian O'Malley,"Charlotte Vega, Bill Milner, Eugene Simon, David Bradley"
456,Humanoids from the Deep,https://www.imdb.com/title/tt0080904/,1980,,80,"Horror, Sci-Fi",5.7,"Scientific experiments backfire and produce horrific mutations: half man, half fish, which terrorize a small fishing village by killing the men and raping the women.",,"Barbara Peeters, Jimmy T. Murakami","Doug McClure, Ann Turkel, Vic Morrow, Cindy Weintraub"
457,Tideland,https://www.imdb.com/title/tt0410764/,2005,R,120,"Drama, Fantasy, Horror",6.5,"Because of the actions of her irresponsible parents, a young girl is left alone on a decrepit country estate and survives inside her fantastic imagination.","66,453",Terry Gilliam,"Jeff Bridges, Jennifer Tilly, Jodelle Ferland, Janet McTeer"
458,Clown,https://www.imdb.com/title/tt1780798/,2014,R,100,"Drama, Fantasy, Horror",5.7,"A loving father finds a clown suit for his son's birthday party, only to realize that it's cursed.","55,007",Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano"
459,A Nightmare on Elm Street 4: The Dream Master,https://www.imdb.com/title/tt0095742/,1988,,93,Horror,5.7,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.","49,369,899",Renny Harlin,"Robert Englund, Rodney Eastman, John Beckman, Kisha Brackel"
460,Crawlspace,https://www.imdb.com/title/tt3612320/,2016,R,88,"Horror, Thriller",5.1,A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.,,Phil Claydon,"Michael Vartan, Erin Moriarty, Nadine Velazquez, Ronnie Gene Blevins"
461,Creepshow 2,https://www.imdb.com/title/tt0092796/,1987,,92,"Comedy, Fantasy, Horror",6.1,"Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die.","14,000,000",Michael Gornick,"George Kennedy, Lois Chiles, Domenick John, Tom Savini"
462,Thinner,https://www.imdb.com/title/tt0117894/,1996,R,93,"Fantasy, Horror",5.8,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,"15,171,475",Tom Holland,"Robert John Burke, Joe Mantegna, Lucinda Jenney, Bethany Joy Lenz"
463,The Awakening,https://www.imdb.com/title/tt1687901/,2011,R,102,"Horror, Thriller",6.5,"In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show themselves.",,Nick Murphy,"Rebecca Hall, Dominic West, Imelda Staunton, Lucy Cohu"
464,Blair Witch,https://www.imdb.com/title/tt1540011/,2016,R,89,"Horror, Mystery, Thriller",5.0,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.","20,777,061",Adam Wingard,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott"
465,The Burning,https://www.imdb.com/title/tt0082118/,1981,,91,Horror,6.4,"A former summer camp caretaker, horribly burned from a prank gone wrong, lurks around an upstate New York summer camp bent on killing the teenagers responsible for his disfigurement.",,Tony Maylam,"Brian Matthews, Leah Ayres, Brian Backer, Larry Joshua"
466,Trick 'r Treat,https://www.imdb.com/title/tt0862856/,2008,R,82,"Comedy, Horror",6.8,"Five interwoven stories that occur on Halloween: An everyday high school principal has a secret life as a serial killer; a college virgin might have just met the guy for her; a group of teenagers pull a mean prank; a woman who loathes the night has to contend with her holiday-obsessed husband; and a mean old man meets his match with a demonic, supernatural trick-or-treater.",,Michael Dougherty,"Anna Paquin, Brian Cox, Dylan Baker, Rochelle Aytes"
467,Rogue,https://www.imdb.com/title/tt0479528/,2007,R,99,"Action, Adventure, Drama",6.2,An American journalist on assignment in the Australian outback encounters a man-eating crocodile while trapped on a rapidly flooding mud island.,"10,452",Greg McLean,"Michael Vartan, Radha Mitchell, Sam Worthington, Caroline Brazier"
468,Resident Evil: Vendetta,https://www.imdb.com/title/tt5776208/,2017,R,97,"Animation, Action, Adventure",6.3,"Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York.",,Takanori Tsujimoto,"Kevin Dorman, Matthew Mercer, Erin Cahill, John DeMita"
469,Hatchet,https://www.imdb.com/title/tt0422401/,2006,R,85,"Comedy, Horror, Thriller",5.7,"When a group of tourists in a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.","155,873",Adam Green,"Kane Hodder, Joel David Moore, Deon Richmond, Amara Zaragoza"
470,Pathology,https://www.imdb.com/title/tt0964539/,2008,R,95,"Crime, Horror, Thriller",6.0,A group of medical students devise a deadly game: to see which one of them can commit the perfect murder.,"108,662",Marc SchÃ¶lermann,"Alyssa Milano, Milo Ventimiglia, Keir O'Donnell, Michael Weston"
471,Piranha,https://www.imdb.com/title/tt0078087/,1978,,94,"Comedy, Horror, Sci-Fi",5.9,"When flesh-eating piranhas are accidentally released into a summer resort's rivers, the guests become their next meal.","6,000,000",Joe Dante,"Bradford Dillman, Heather Menzies-Urich, Kevin McCarthy, Keenan Wynn"
472,Tesis,https://www.imdb.com/title/tt0117883/,1996,R,125,"Horror, Mystery, Thriller",7.4,"While doing a thesis about violence, Ãngela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",,Alejandro AmenÃ¡bar,"Ana Torrent, Fele MartÃ­nez, Eduardo Noriega, Xabier Elorriaga"
473,Vacancy,https://www.imdb.com/title/tt0452702/,2007,R,85,"Horror, Thriller",6.2,"A married couple becomes stranded at an isolated motel and finds hidden video cameras in their room. They soon realize that unless they escape, they'll be the next victims of a snuff film.","19,363,565",NimrÃ³d Antal,"Kate Beckinsale, Luke Wilson, Frank Whaley, Ethan Embry"
474,Slaughter High,https://www.imdb.com/title/tt0091969/,1986,,90,"Horror, Thriller",5.3,"Eight people are invited to their old high school for their ten-year reunion where a fellow former student, disfigured from a prank gone wrong, is out to seek revenge.",,"George Dugdale, Mark Ezra, Peter Mackenzie Litten","Caroline Munro, Simon Scuddamore, Carmine Iannaccone, Donna Yeager"
475,Halloween H20: 20 Years Later,https://www.imdb.com/title/tt0120694/,1998,R,86,"Horror, Thriller",5.7,"Laurie Strode, now the dean of a Northern California private school with an assumed name, must battle the Shape one last time, as the life of her own son hangs in the balance.","55,041,738",Steve Miner,"Jamie Lee Curtis, Josh Hartnett, Adam Arkin, Michelle Williams"
476,The Cured,https://www.imdb.com/title/tt3463106/,2017,R,95,"Drama, Horror, Sci-Fi",5.5,"A disease that turns people into zombies has been cured. The once-infected zombies are discriminated against by society and their own families, which causes social issues to arise. This leads to militant government interference.","20,261",David Freyne,"Ellen Page, Sam Keeley, Tom Vaughan-Lawlor, Stuart Graham"
477,The Tall Man,https://www.imdb.com/title/tt1658837/,2012,R,106,"Crime, Drama, Horror",5.9,"When her child goes missing, a mother looks to unravel the legend of the Tall Man, an entity who allegedly abducts children.",,Pascal Laugier,"Jessica Biel, Jodelle Ferland, William B. Davis, Stephen McHattie"
478,Delirium,https://www.imdb.com/title/tt2069797/,2018,R,96,"Horror, Thriller",5.7,"A man recently released from a mental institute inherits a mansion after his wealthy parents die. After a series of disturbing events, he comes to believe it is haunted.",,Dennis Iliadis,"Genesis Rodriguez, Topher Grace, Patricia Clarkson, Callan Mulvey"
479,Life After Beth,https://www.imdb.com/title/tt2581244/,2014,R,89,"Comedy, Fantasy, Horror",5.6,"A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.","80,315",Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon"
480,The Dyatlov Pass Incident,https://www.imdb.com/title/tt1905040/,2013,R,100,"Horror, Mystery, Thriller",5.7,"A group of students go the location of the infamous Dyatlov pass incident to make a documentary, but things take a turn for the worse as the secret of what happened there is revealed.",,Renny Harlin,"Holly Goss, Matt Stokoe, Luke Albright, Ryan Hawley"
481,Halloween 4: The Return of Michael Myers,https://www.imdb.com/title/tt0095271/,1988,,88,"Horror, Thriller",5.9,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?","17,768,757",Dwight H. Little,"Donald Pleasence, Ellie Cornell, Danielle Harris, George P. Wilbur"
482,Repo! The Genetic Opera,https://www.imdb.com/title/tt0963194/,2008,R,98,"Horror, Musical, Sci-Fi",6.6,"A worldwide epidemic encourages a biotech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer, however.","140,244",Darren Lynn Bousman,"Paul Sorvino, Anthony Head, Alexa PenaVega, Sarah Brightman"
483,Jeepers Creepers 2,https://www.imdb.com/title/tt0301470/,2003,R,104,Horror,5.6,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy.","35,667,218",Victor Salva,"Jonathan Breck, Ray Wise, Nicki Aycox, Garikayi Mutambirwa"
484,Southbound,https://www.imdb.com/title/tt4935334/,2015,R,89,"Fantasy, Horror, Thriller",5.9,Five interlocking tales of terror follow the fates of a group of weary travellers who confront their worst nightmares - and darkest secrets - over one long night on a desolate stretch of desert highway.,"6,250","Roxanne Benjamin, Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Patrick Horvath, Justin Martinez, Radio Silence, Chad Villella","Chad Villella, Matt Bettinelli-Olpin, Kristina Pesic, Fabianne Therese"
485,Bug,https://www.imdb.com/title/tt0470705/,2006,R,102,"Drama, Horror, Thriller",6.1,An unhinged war veteran holes up with a lonely woman in a spooky Oklahoma motel room. The line between reality and delusion is blurred as they discover a bug infestation.,"7,006,708",William Friedkin,"Ashley Judd, Michael Shannon, Harry Connick Jr., Lynn Collins"
486,The Collection,https://www.imdb.com/title/tt1748227/,2012,R,82,"Horror, Thriller",6.1,"A man who escapes from the vicious grips of the serial killer known as ""The Collector"" is then forced to help rescue an innocent girl from the killer's booby-trapped lair.","12,842,058",Marcus Dunstan,"Josh Stewart, Emma Fitzpatrick, Christopher McDonald, Randall Archer"
487,Sorority Row,https://www.imdb.com/title/tt1232783/,2009,R,101,"Horror, Mystery",5.1,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.","11,956,207",Stewart Hendler,"Briana Evigan, Rumer Willis, Carrie Fisher, Teri Andrez"
488,Honeymoon,https://www.imdb.com/title/tt3177316/,2014,R,87,"Horror, Mystery, Thriller",5.7,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,"9,168",Leigh Janiak,"Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown"
489,Silver Bullet,https://www.imdb.com/title/tt0090021/,1985,,95,Horror,6.4,"A werewolf terrorizes a small city where lives the paralytic Marty Coslaw, his uncle, and his sister, the story's narrator.","5,400,000",Daniel Attias,"Gary Busey, Everett McGill, Corey Haim, Megan Follows"
490,DeepStar Six,https://www.imdb.com/title/tt0097179/,1989,,105,"Action, Horror, Sci-Fi",5.3,"At the bottom of the ocean, the DeepStar Six has just discovered a new and deadly alien menace.","8,143,225",Sean S. Cunningham,"Greg Evigan, Nancy Everhard, Taurean Blacque, Miguel Ferrer"
491,The Bay,https://www.imdb.com/title/tt1713476/,2012,R,84,"Horror, Sci-Fi, Thriller",5.6,Chaos breaks out in a small Maryland town after an ecological disaster occurs.,"30,474",Barry Levinson,"Will Rogers, Kristen Connolly, Kether Donohue, Frank Deal"
492,Ilsa: She Wolf of the SS,https://www.imdb.com/title/tt0071650/,1975,,96,"Drama, Horror, Thriller",5.1,"Ilsa is an evil Nazi warden at a death camp that conducts ""medical experiments"". Ilsa's goal is to prove that women can withstand more pain and suffering than men and therefore should be allowed to fight on the front lines.",,Don Edmonds,"Dyanne Thorne, Gregory Knoph, Tony Mumolo, Maria Marx"
493,An American Werewolf in Paris,https://www.imdb.com/title/tt0118604/,1997,R,105,"Comedy, Fantasy, Horror",5.1,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.,"26,570,463",Anthony Waller,"Tom Everett Scott, Julie Delpy, Vince Vieluf, Phil Buckman"
494,The Vanishing,https://www.imdb.com/title/tt0108473/,1993,R,109,"Drama, Horror, Mystery",6.3,The boyfriend of an abducted woman never gives up the search as the abductor looks on.,"14,543,394",George Sluizer,"Jeff Bridges, Kiefer Sutherland, Nancy Travis, Sandra Bullock"
495,Body Snatchers,https://www.imdb.com/title/tt0106452/,1993,R,87,"Horror, Sci-Fi",5.9,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,"428,868",Abel Ferrara,"Gabrielle Anwar, Meg Tilly, Terry Kinney, Reilly Murphy"
496,Hide and Seek,https://www.imdb.com/title/tt0382077/,2005,R,101,"Drama, Horror, Mystery",6.0,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.","51,100,486",John Polson,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue"
497,Cursed,https://www.imdb.com/title/tt0257516/,2005,PG-13,97,"Comedy, Horror",5.0,"A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn they must kill it in order to avoid becoming werewolves themselves.","19,297,522",Wes Craven,"Christina Ricci, Jesse Eisenberg, Portia de Rossi, Mya"
498,What Keeps You Alive,https://www.imdb.com/title/tt7073710/,2018,R,98,"Horror, Thriller",5.7,"Majestic mountains, a still lake and venomous betrayals engulf a female married couple attempting to celebrate their one-year anniversary.",,Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein"
499,Ju-on,https://www.imdb.com/title/tt0364385/,2002,R,92,Horror,6.7,A mysterious and vengeful spirit marks and pursues anybody who dares enter the house in which it resides.,"325,661",Takashi Shimizu,"Megumi Okina, Misaki ItÃ´, Misa Uehara, Yui Ichikawa"
500,Sleepaway Camp II: Unhappy Campers,https://www.imdb.com/title/tt0096118/,1988,,80,"Comedy, Horror",5.7,"Angela, supposedly reformed and living under an assumed surname, is working at a summer camp. However, when the campers start misbehaving, she soon reverts to her old ways.",,Michael A. Simpson,"Pamela Springsteen, RenÃ©e Estevez, Tony Higgins, Valerie Hartman"
501,Nekrotronic,https://www.imdb.com/title/tt7453418/,2018,R,99,"Action, Comedy, Horror",5.4,A man who discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the internet.,,Kiah Roache-Turner,"Ben O'Toole, Monica Bellucci, Caroline Ford, Tess Haubrich"
502,Cooties,https://www.imdb.com/title/tt2490326/,2014,R,88,"Action, Comedy, Horror",5.7,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.","55,749","Jonathan Milott, Cary Murnion","Elijah Wood, Rainn Wilson, Alison Pill, Jack McBrayer"
503,Universal Soldier: Day of Reckoning,https://www.imdb.com/title/tt1659343/,2012,R,114,"Action, Horror, Mystery",5.0,"John looks to take down Luc Deveraux after a home invasion claims his wife and daughter. The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.","5,460",John Hyams,"Jean-Claude Van Damme, Dolph Lundgren, Scott Adkins, Mariah Bonner"
504,Sleepwalkers,https://www.imdb.com/title/tt0105428/,1992,R,91,Horror,5.3,A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.,"30,524,763",Mick Garris,"Brian Krause, MÃ¤dchen Amick, Alice Krige, Jim Haynie"
505,The Brood,https://www.imdb.com/title/tt0078908/,1979,,92,"Horror, Sci-Fi",6.8,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, amidst a series of brutal murders.",,David Cronenberg,"Oliver Reed, Samantha Eggar, Art Hindle, Henry Beckman"
506,Dreamscape,https://www.imdb.com/title/tt0087175/,1984,PG-13,99,"Action, Adventure, Horror",6.3,A young psychic on the run from himself is recruited by a government agency experimenting with the use of the dream-sharing technology and is given the inverse task of planting an idea into the mind of the U.S. president.,"11,484,000",Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer, Eddie Albert"
507,The Sword and the Sorcerer,https://www.imdb.com/title/tt0084749/,1982,,100,"Action, Adventure, Fantasy",5.6,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,"39,103,425",Albert Pyun,"Lee Horsley, Kathleen Beller, Simon MacCorkindale, George Maharis"
508,Disturbing Behavior,https://www.imdb.com/title/tt0134619/,1998,R,84,"Horror, Mystery, Sci-Fi",5.7,"The new kid in Cradle Bay, Washington stumbles across something sinister about the town's method of transforming its unruly teens into upstanding citizens.","17,411,331",David Nutter,"James Marsden, Katie Holmes, Nick Stahl, Tobias Mehler"
509,Dolls,https://www.imdb.com/title/tt0092906/,1987,,77,Horror,6.3,A group of people stop by a mansion during a storm and discover two magical toy makers and their haunted collection of dolls.,,Stuart Gordon,"Ian Patrick Williams, Carolyn Purdy-Gordon, Carrie Lorraine, Guy Rolfe"
510,Maniac,https://www.imdb.com/title/tt0081114/,1980,,87,"Drama, Horror, Thriller",6.5,"A psychotic man, troubled by his childhood abuse, loose in New York City, kills young women and takes their scalps as his trophies. Will he find the perfect woman in a photographer, and end his killing spree?",,William Lustig,"Joe Spinell, Caroline Munro, Abigail Clayton, Kelly Piper"
511,Candyman: Farewell to the Flesh,https://www.imdb.com/title/tt0112625/,1995,R,95,"Horror, Thriller",5.3,The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.,"13,940,383",Bill Condon,"Tony Todd, Kelly Rowan, William O'Leary, Bill Nunn"
512,The Lords of Salem,https://www.imdb.com/title/tt1731697/,2012,R,101,"Horror, Thriller",5.1,"Heidi, a radio DJ, is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?","1,163,508",Rob Zombie,"Sheri Moon Zombie, Meg Foster, Bruce Davison, Jeff Daniel Phillips"
513,Deadgirl,https://www.imdb.com/title/tt0896534/,2008,R,101,Horror,5.6,Two high school boys discover an imprisoned woman in an abandoned mental asylum who cannot die.,,"Marcel Sarmiento, Gadi Harel","Shiloh Fernandez, Noah Segan, Candice King, Eric Podnar"
514,Les riviÃ¨res pourpres,https://www.imdb.com/title/tt0228786/,2000,R,106,"Crime, Horror, Mystery",6.9,A murder detective must follow the footsteps of a brutal killer within the secrets of a classist college.,"632,548",Mathieu Kassovitz,"Jean Reno, Vincent Cassel, Nadia FarÃ¨s, Dominique Sanda"
515,Ravenous,https://www.imdb.com/title/tt0129332/,1999,R,101,"Adventure, Comedy, Horror",7.0,"In a remote military outpost in the 19th century, Captain John Boyd and his regiment embark on a rescue mission which takes a dark turn when they are ambushed by a sadistic cannibal.","2,060,953",Antonia Bird,"Guy Pearce, Robert Carlyle, David Arquette, Jeremy Davies"
516,Piercing,https://www.imdb.com/title/tt6516314/,2018,R,81,"Horror, Mystery, Thriller",5.6,"A man kisses his wife and baby goodbye and seemingly heads away on business, with a plan to check into a hotel, call an escort service, and kill an unsuspecting prostitute.","15,856",Nicolas Pesce,"Christopher Abbott, Mia Wasikowska, Laia Costa, Olivia Bond"
517,American Mary,https://www.imdb.com/title/tt1959332/,2012,R,103,"Drama, Horror",6.3,"The allure of easy money sends Mary Mason, a medical student, into the world of underground surgeries which ends up leaving more marks on her than her so called ""freakish"" clients.",,"Jen Soska, Sylvia Soska","Katharine Isabelle, Antonio Cupo, Tristan Risk, David Lovgren"
518,Bubba Ho-Tep,https://www.imdb.com/title/tt0281686/,2002,R,92,"Comedy, Fantasy, Horror",7.0,"Elvis Presley and a black ""JFK"" stay in a nursing home where nothing happens - until a wayward Egyptian mummy comes and sucks out the old people's souls thru their a-holes. The two decide to fight back.","2,003,420",Don Coscarelli,"Bruce Campbell, Ossie Davis, Bob Ivy, Ella Joyce"
519,Warlock,https://www.imdb.com/title/tt0098622/,1989,,103,"Action, Fantasy, Horror",6.2,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit.","9,094,451",Steve Miner,"Julian Sands, Lori Singer, Richard E. Grant, Mary Woronov"
520,Splinter,https://www.imdb.com/title/tt1031280/,2008,R,82,"Horror, Sci-Fi, Thriller",6.1,"Trapped in an isolated gas station by a voracious Splinter parasite that transforms its still-living victims into deadly hosts, a young couple and an escaped convict must find a way to work together to survive this primal terror.",,Toby Wilkins,"Shea Whigham, Jill Wagner, Paulo Costanzo, Charles Baker"
521,Viral,https://www.imdb.com/title/tt2597892/,2016,R,85,"Drama, Horror, Sci-Fi",5.5,"Following the outbreak of a virus that wipes out the majority of the human population, a young woman documents her family's new life in quarantine and tries to protect her infected sister.",,"Henry Joost, Ariel Schulman","Sofia Black-D'Elia, Analeigh Tipton, Travis Tope, Michael Kelly"
522,No One Lives,https://www.imdb.com/title/tt1763264/,2012,R,86,"Horror, Thriller",6.0,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.,"72,140",RyÃ»hei Kitamura,"Luke Evans, Gary Grubbs, Adelaide Clemens, Derek Magyar"
523,Needful Things,https://www.imdb.com/title/tt0107665/,1993,R,120,"Crime, Drama, Fantasy",6.3,"A mysterious new shop opens in a small town which always seems to stock the deepest desires of each shopper, with a price far heavier than expected.","15,185,672",Fraser C. Heston,"Max von Sydow, Ed Harris, Bonnie Bedelia, Amanda Plummer"
524,The Resident,https://www.imdb.com/title/tt1334102/,2011,R,91,"Drama, Horror, Mystery",5.3,"When a young doctor suspects she may not be alone in her new Brooklyn loft, she learns that her landlord has formed a frightening obsession with her.",,Antti Jokinen,"Hilary Swank, Jeffrey Dean Morgan, Lee Pace, Christopher Lee"
525,Saturn 3,https://www.imdb.com/title/tt0079285/,1980,,96,"Adventure, Horror, Sci-Fi",5.2,Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight foot robot.,,"Stanley Donen, John Barry","Farrah Fawcett, Kirk Douglas, Harvey Keitel, Ed Bishop"
526,Rubber,https://www.imdb.com/title/tt1612774/,2010,R,82,"Comedy, Fantasy, Horror",5.8,"A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.","98,017",Quentin Dupieux,"Stephen Spinella, Roxane Mesquida, Wings Hauser, Jack Plotnick"
527,Class of 1999,https://www.imdb.com/title/tt0099277/,1990,,99,"Action, Horror, Sci-Fi",5.9,"Robot teachers have been secretly placed in the schools where the students have run riot. The teachers do a good job of controlling the unruly youngsters, until they go too far and some students get suspicious.","2,459,895",Mark L. Lester,"Bradley Gregg, Traci Lind, Malcolm McDowell, Stacy Keach"
528,The Super,https://www.imdb.com/title/tt5884784/,2017,R,90,"Horror, Mystery, Thriller",5.8,A man becomes the superintendent of a large New York City apartment building where people mysteriously go missing.,,Stephan Rick,"Patrick John Flueger, Val Kilmer, Louisa Krause, Mattea Conforti"
529,Session 9,https://www.imdb.com/title/tt0261983/,2001,R,100,"Horror, Mystery",6.4,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,"378,176",Brad Anderson,"David Caruso, Stephen Gevedon, Paul Guilfoyle, Josh Lucas"
530,The Loved Ones,https://www.imdb.com/title/tt1316536/,2009,R,84,"Horror, Thriller",6.7,"When Brent turns down his classmate Lola's invitation to the prom, she concocts a wildly violent plan for revenge.",,Sean Byrne,"Xavier Samuel, Robin McLeavy, John Brumpton, Richard Wilson"
531,Vampire's Kiss,https://www.imdb.com/title/tt0098577/,1988,,103,"Comedy, Horror",6.0,"After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire.","725,131",Robert Bierman,"Nicolas Cage, Maria Conchita Alonso, Jennifer Beals, Elizabeth Ashley"
532,Creep,https://www.imdb.com/title/tt0381966/,2004,R,85,"Horror, Mystery, Thriller",5.6,"Trapped in a London subway station, a woman who's being pursued by a potential attacker heads into the unknown labyrinth of tunnels beneath the city's streets.",,Christopher Smith,"Franka Potente, Sean Harris, Vas Blackwood, Ken Campbell"
533,The Lair of the White Worm,https://www.imdb.com/title/tt0095488/,1988,,93,"Comedy, Horror",5.9,"When an archeologist uncovers a strange skull in foreign land, the residents of a nearby town begin to disappear, leading to further unexplainable occurrences.","1,189,315",Ken Russell,"Amanda Donohoe, Hugh Grant, Catherine Oxenberg, Peter Capaldi"
534,Tourist Trap,https://www.imdb.com/title/tt0080040/,1979,,90,Horror,6.2,A group of young friends stranded at a secluded roadside museum are stalked by a masked assailant who uses his telekenetic powers to control the attraction's mannequins.,,David Schmoeller,"Chuck Connors, Jocelyn Jones, Jon Van Ness, Robin Sherwood"
535,Curse of Chucky,https://www.imdb.com/title/tt2230358/,2013,R,97,"Horror, Thriller",5.6,"After her mother's mysterious death, Nica begins to suspect that the talking, red-haired doll her visiting niece has been playing with may be the key to recent bloodshed and chaos.",,Don Mancini,"Chantal Quesnelle, Fiona Dourif, Jordan Gavaris, Danielle Bisutti"
536,Dead End,https://www.imdb.com/title/tt0308152/,2003,R,85,"Adventure, Horror, Mystery",6.6,"Christmas Eve. On his way to his in-laws with his family, Frank Harrington decides to try a shortcut, for the first time in 20 years. It turns out to be the biggest mistake of his life.",,"Jean-Baptiste Andrea, Fabrice Canepa","Ray Wise, Lin Shaye, Mick Cain, Alexandra Holden"
