Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
"1,411",Night of the Witches,https://www.imdb.com/title/tt0066145/,1970,,75,"Comedy, Crime, Horror",6.1,See full summary,,Keith Larsen,"Keith Larsen, Randy Stafford, Ron Taft, Kathryn Loder"
"1,412",Skjult,https://www.imdb.com/title/tt1347007/,2009,R,95,"Horror, Thriller",5.7,Painful memories arise when Kai Koss goes back to his childhood home after 19 years and inherits his dead mother's house.,,PÃ¥l Ãie,"Kristoffer Joner, Cecilie A. Mosli, Bjarte Hjelmeland, Marko Iversen Kanic"
"1,413",Lo strangolatore di Vienna,https://www.imdb.com/title/tt0067799/,1971,,83,"Comedy, Crime, Horror",5.3,See full summary,,Guido Zurli,"Victor Buono, Franca Polesello, Brad Harris, Dario Michaelis"
"1,414",Dance of the Damned,https://www.imdb.com/title/tt0094942/,1989,,82,"Drama, Horror, Romance",6.1,See full summary,,Katt Shea,"Starr Andreeff, Cyril O'Reilly, Debbie Nassar, Maria Ford"
"1,415",Criminally Insane,https://www.imdb.com/title/tt0072831/,1975,,61,"Horror, Thriller",5.8,An obese woman recently released from an insane asylum kills anyone who attempts to get her to stop eating.,,Nick Millard,"Priscilla Alden, Michael Flood, Jane Lambert, Robert Copple"
"1,416",Penny Dreadful,https://www.imdb.com/title/tt0462475/,2005,,91,"Horror, Thriller",5.9,Jessica and David Clausen are an upstart couple who come face to face with the Supernatural after inheriting a beautiful townhouse in New York City's West Village District.,,Bryan Norton,"Emily Vaughan, Sebastian La Cause, Betsy Palmer, Peter DuPre"
"1,417",The Hazing,https://www.imdb.com/title/tt0366555/,2004,R,87,"Comedy, Horror",5.5,"Several college kids spend the night in a spooky mansion in an attempt to pledge fraternities and sororities. A deranged ""professor"" begins murdering them. They must figure why, and also if one or more of them are working with the killer.",,Rolfe Kanefsky,"Brad Dourif, Brooke Burke, Nectar Rose, Philip Andrew"
"1,418",The Turn of the Screw,https://www.imdb.com/title/tt0105659/,1992,R,95,"Horror, Thriller",5.3,See full summary,,Rusty Lemorande,"Patsy Kensit, StÃ©phane Audran, Julian Sands, Marianne Faithfull"
"1,419",La lupa mannara,https://www.imdb.com/title/tt0074829/,1976,,79,Horror,5.1,See full summary,,Rino Di Silvestro,"Annik Borel, Howard Ross, Dagmar Lassander, Tino Carraro"
"1,420",Mr In-Between,https://www.imdb.com/title/tt0280962/,2001,R,98,"Crime, Horror, Romance",6.4,See full summary,,Paul Sarossy,"Andrew Howard, Geraldine O'Rawe, Andrew Tiernan, David Calder"
"1,421",The Forgotten One,https://www.imdb.com/title/tt0099601/,1989,,100,"Horror, Mystery, Romance",5.7,See full summary,,Phillip Badger,"Terry O'Quinn, Kristy McNichol, Blair Parker, Elisabeth Brooks"
"1,422",Wishcraft,https://www.imdb.com/title/tt0255702/,2002,R,102,Horror,5.2,"Bret, a smart but unsociable high school kid, receives a strange box in the mail. A note tells him it will give him three wishes, but just as his new life is beginning, someone is murdering the popular kids in strange, inventive ways.",,"Danny Graves, Richard Wenk","Michael Weston, Alexandra Holden, Huntley Ritter, Austin Pendleton"
"1,423",Cell 213,https://www.imdb.com/title/tt1288636/,2011,R,109,Horror,5.0,God and the Devil battle for the soul of a cocky lawyer.,,Stephen Kay,"Bruce Greenwood, Eric Balfour, Michael Rooker, Deborah Valente"
"1,424",Senseless,https://www.imdb.com/title/tt0795463/,2008,R,87,"Crime, Drama, Horror",5.8,"Based on Stona Fitch's novel, this is the story of a wealthy US businessman (Behr) whose brutal kidnapping and torture are streamed online as part of an ultra-violent reality TV show.",,Simon Hynd,"Jason Behr, Emma Catherwood, Joe Ferrara, Jacques Kerr"
"1,425",Snakes,https://www.imdb.com/title/tt0130267/,1974,,83,"Horror, Thriller",5.2,A snake lover sends out venomous snakes and reptiles to kill his enemies.,,Art Names,"Les Tremayne, Janet Wood, Bebe Kelly, Marvin Kaplan"
"1,426","Sexykiller, morirÃ¡s por ella",https://www.imdb.com/title/tt1056416/,2008,R,100,"Comedy, Horror",5.7,"A femme fatale fashionista at a trendy design school embarks on a brutal and bloody killing spree, while gleefully evading the hapless cops assigned to the murder cases.",,Miguel MartÃ­,"Macarena GÃ³mez, Alejo Sauras, CÃ©sar Camino, Ãngel de AndrÃ©s LÃ³pez"
"1,427",S&man,https://www.imdb.com/title/tt0800361/,2006,R,84,Horror,5.7,"An exploration of voyeurism in cinema, from Psycho and Peeping Tom in 1960 to the low-budget underground genre films of recent years.",,J.T. Petty,"Elizabeth Cartier, Carol J. Clover, Debbie D, Freddie Dingo"
"1,428",The Barber,https://www.imdb.com/title/tt0280462/,2002,R,94,"Crime, Horror, Mystery",5.7,"Town barber Dexter Miles is surprised to overhear, while cutting the hair of police chief Vance Corgan, that the body of a woman he murdered a few days before has been recovered. He had hope that the body would not be found until spring.",,Micheal Bafaro,"Malcolm McDowell, Jeremy Ratchford, Garwin Sanford, Brenda James"
"1,429",Afraid of the Dark,https://www.imdb.com/title/tt0101276/,1991,R,91,"Drama, Fantasy, Horror",5.8,"A little boy, obsessed with blindness and violence, slowly gets trapped in his own delusions.",,Mark Peploe,"James Fox, Fanny Ardant, Paul McGann, Clare Holman"
"1,430",The Neighbor,https://www.imdb.com/title/tt0107666/,1993,,93,"Thriller, Horror",5.7,"Boy loves mother who dies giving birth. Boy kills baby brother. 50 years later boy, now doctor, sells a neighboring house cheaply to a pregnant woman who looks like his mom and wants to be her doctor. Will he also kill her unborn son?",,Rodney Gibbons,"Rod Steiger, Linda Kozlowski, Ron Lea, Benjamin Shirinian"
"1,431",Breaking Dawn,https://www.imdb.com/title/tt0366518/,2004,R,87,"Horror, Mystery, Thriller",5.6,"A medical student is assigned to a psychiatric patient to discover the truth about a brutal murder, but he instead rants about danger in the outside world. The student dismisses his claims as paranoia - until someone begins.",,Mark Edwin Robinson,"Kelly Overton, James Haven, Jennette McCurdy, Joe Morton"
